time,energy
379364934.7854,6598
379364933.289971,1952
379364935.39712,2662
379364935.928227,324
379364938.343384,9914
379364938.825606,347
379364941.878245,1209
379364942.06992,760
379364944.700984,2669
379364946.595406,1119
379364947.78305,945
379364950.521301,711
379364950.110332,430
379364952.748971,8743
379364951.043097,9206
379364954.546699,6742
379364953.894518,6169
379364954.558292,2475
379364957.573103,351
379364959.62566,1981
379364959.935695,1217
379364961.644924,3313
379364962.227424,13088
379364965.94931,13041
379364964.816578,1912
379364967.177041,295
379364967.177144,4030
379364969.100828,9063
379364970.779441,13038
379364969.187452,2085
379364973.600843,868
379364972.831761,6660
379364975.012324,5790
379364978.606572,3314
379364979.447481,1442
379364977.468221,131
379364981.781526,636
379364983.250377,5833
379364984.409997,551
379364987.180993,1533
379364985.549003,7366
379364988.869277,260
379364992.226631,13047
379364991.387913,3760
379364992.241578,2736
379364994.151001,4856
379364996.126077,10462
379364995.931195,1433
379364998.081494,3602
379365000.766153,13319
379365001.693478,519
379365002.688356,1325
379365004.192847,1473
379365005.811515,586
379365007.874894,3491
379365008.454553,128
379365012.617004,1623
379365011.922929,1442
379365015.158911,445
379365015.624482,13169
379365013.944248,114
379365017.708316,1491
379365020.603315,7332
379365018.7752,185
379365022.37238,277
379365023.04409,4722
379365024.759269,873
379365027.171162,172
379365029.682748,1705
379365033.927255,4857
379365033.440331,291
379365034.922722,1068
379365034.67059,11238
379365038.794813,416
379365039.581817,2688
379365039.857752,4845
379365043.298223,13339
379365047.002586,1508
379365044.660751,2043
379365047.205386,4868
379365052.044658,4338
379365054.248178,12126
379365056.445504,4558
379365058.625062,13046
379365058.973733,1187
379365062.356704,1567
379365061.413805,370
379365062.771566,6849
379365066.660254,13015
379365068.176951,1992
379365072.485443,1449
379365074.679238,354
379365076.117339,12932
379365077.14585,3948
379365078.867137,2114
379365080.758881,441
379365082.633396,13079
379365084.373021,1430
379365087.524022,461
379365090.039678,8641
379365092.724435,87
379365092.077154,4339
379365095.494366,13013
379365100.323094,3699
379365100.989848,573
379365103.779445,5083
379365106.419241,854
379365106.39822,455
379365111.552846,13336
379365110.327435,557
379365112.951579,193
379365116.710137,3166
379365119.236614,2141
379365120.404375,580
379365124.202251,13054
379365124.391817,4949
379365126.68192,2944
379365129.808258,1776
379365130.451202,8130
379365132.807533,116
379365133.891545,547
379365136.162344,2048
379365138.259064,236
379365141.714791,995
379365142.748318,167
379365144.658088,13135
379365146.816221,7178
379365149.462222,116
379365151.921459,86
379365154.603876,12933
379365154.22571,437
379365156.734836,2553
379365160.85718,12860
379365163.075998,121
379365165.519782,3688
379365165.022622,1967
379365167.606859,2582
379365169.994915,5402
379365174.018972,1806
379365175.039351,1466
379365179.517347,8672
379365179.867964,1548
379365179.966248,10175
379365186.0273,151
379365185.430337,309
379365189.14749,5044
379365191.832878,310
379365194.029312,3343
379365195.67755,390
379365196.43405,971
379365200.361147,2344
379365200.290148,974
379365201.344989,1284
379365204.053154,8525
379365208.27146,2685
379365209.872178,2470
379365210.524252,2937
379365212.281461,10317
379365214.658274,2092
379365216.905415,8634
379365219.701775,7068
379365222.204831,658
379365224.058398,12768
379365228.10981,5000
379365229.677012,1289
379365231.443335,2985
379365233.414943,811
379365236.032321,12766
379365238.217489,12927
379365237.799562,7304
379365241.441111,2218
379365244.177039,11235
379365243.081034,4109
379365247.121726,12761
379365249.287444,12911
379365250.329572,12730
379365253.507635,7232
